epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,577.078,2.0576,1.20914,1.24927,0.53885,0.38607,0.38798,0.18728,2.05261,1.10527,1.29583,4.654e-05,4.654e-05,4.654e-05
83,584.047,2.02905,1.19296,1.2363,0.54471,0.38795,0.38985,0.18806,2.05238,1.10701,1.29548,4.588e-05,4.588e-05,4.588e-05
84,590.997,2.0228,1.19883,1.24952,0.54503,0.38955,0.39066,0.19008,2.04463,1.10157,1.2937,4.522e-05,4.522e-05,4.522e-05
85,597.962,2.02827,1.20017,1.24128,0.53929,0.37948,0.3896,0.18938,2.0487,1.10233,1.29346,4.456e-05,4.456e-05,4.456e-05
86,605.038,2.03071,1.19186,1.23778,0.5477,0.37807,0.39061,0.18925,2.04913,1.1029,1.29382,4.39e-05,4.39e-05,4.39e-05
87,612.122,2.05541,1.20016,1.24363,0.53838,0.38158,0.39053,0.18919,2.04841,1.10157,1.29466,4.324e-05,4.324e-05,4.324e-05
88,619.06,2.05566,1.20705,1.24837,0.5525,0.37268,0.39022,0.18855,2.04898,1.09936,1.29416,4.258e-05,4.258e-05,4.258e-05
89,626.009,2.02347,1.20079,1.23424,0.55389,0.3718,0.39155,0.18961,2.04298,1.09776,1.29254,4.192e-05,4.192e-05,4.192e-05
90,633.058,2.02262,1.19128,1.23893,0.51127,0.39863,0.39314,0.1902,2.03985,1.09543,1.29271,4.126e-05,4.126e-05,4.126e-05
91,640.103,2.02418,1.17891,1.22433,0.57103,0.37231,0.39149,0.18909,2.05054,1.10012,1.2942,4.06e-05,4.06e-05,4.06e-05
92,646.94,2.01612,1.1866,1.23654,0.58552,0.36412,0.3944,0.19087,2.0419,1.09298,1.29332,3.994e-05,3.994e-05,3.994e-05
93,653.919,2.04635,1.19287,1.23262,0.58449,0.36893,0.39357,0.19123,2.0451,1.09324,1.29379,3.928e-05,3.928e-05,3.928e-05
94,660.921,2.02528,1.19132,1.23514,0.57561,0.36594,0.39452,0.1911,2.04427,1.09464,1.29225,3.862e-05,3.862e-05,3.862e-05
95,668.061,2.03727,1.1781,1.23686,0.57931,0.36284,0.39556,0.19197,2.04061,1.093,1.29102,3.796e-05,3.796e-05,3.796e-05
96,675.29,2.00874,1.17852,1.22585,0.58942,0.36505,0.39417,0.19219,2.0414,1.09152,1.2915,3.73e-05,3.73e-05,3.73e-05
97,682.376,2.02542,1.19874,1.23557,0.57873,0.36923,0.3935,0.19086,2.04515,1.09216,1.29232,3.664e-05,3.664e-05,3.664e-05
98,689.527,2.03217,1.18314,1.22393,0.57452,0.37201,0.39566,0.19161,2.04275,1.08874,1.2914,3.598e-05,3.598e-05,3.598e-05
99,696.635,2.01418,1.18493,1.24117,0.57893,0.36926,0.39547,0.19177,2.0392,1.08762,1.29018,3.532e-05,3.532e-05,3.532e-05
